entity_type,entity_ref,channel,value,source
client,112,email,contacto@murazik-krajcik-and-gutkowski.cl,seed
client,119,email,contacto@von-group.cl,seed
client,123,email,contacto@schultz-murphy-and-johnston.cl,seed
client,124,email,contacto@windler-abernathy.cl,seed
client,147,email,contacto@rath-kuvalis.cl,seed
client,148,email,contacto@moen-hartmann.cl,seed
client,153,email,contacto@lebsack-white.cl,seed
client,155,email,contacto@schimmel-murazik-and-gulgowski.cl,seed
client,163,email,contacto@kuvalis-bradtke.cl,seed
client,164,email,contacto@lebsack-group.cl,seed
client,166,email,contacto@schaefer-bosco.cl,seed
client,168,email,contacto@becker-corkery.cl,seed
client,171,email,contacto@sipes-kozey.cl,seed
client,178,email,contacto@ferry-schaefer-and-cassin.cl,seed
client,179,email,contacto@borer-hoeger.cl,seed
client,182,email,contacto@hickle-and-sons.cl,seed
client,184,email,contacto@thiel-effertz.cl,seed
client,186,email,contacto@volkman-plc.cl,seed
client,187,email,contacto@zieme-dare.cl,seed
client,191,email,contacto@ullrich-oberbrunner-and-dickin.cl,seed
client,192,email,contacto@wilderman-o-reilly-and-corkery.cl,seed
client,195,email,contacto@casper-and-sons.cl,seed
client,202,email,contacto@ortiz-plc.cl,seed
client,212,email,contacto@gislason-morar-and-bechtelar.cl,seed
client,217,email,contacto@hermiston-plc.cl,seed
client,222,email,contacto@hettinger-kuhlman.cl,seed
client,229,email,contacto@sauer-sanford.cl,seed
client,230,email,contacto@welch-llc.cl,seed
client,231,email,contacto@pfannerstill-deckow.cl,seed
client,234,email,contacto@kshlerin-group.cl,seed
